time,x,y,vx,vy,omega,linear_velocity,goal_status,attempt_id,goal_x,goal_y,goal_reached_count,collision_count,min_scan_range,plan_update_count,last_plan_update_time
91.559,0.008409133227706502,-0.0059593971868589805,-6.2677332380281e-05,9.556421873614596e-06,-0.0015275970594030145,6.340168131315384e-05,IDLE,0,nan,nan,0,0,0.6987919211387634,0,nan
91.592,0.008409481947667549,-0.005957277532458627,-6.249041578909767e-05,9.548492581009602e-06,-0.0015233458214476189,6.321570830152821e-05,IDLE,0,nan,nan,0,0,0.6987919211387634,0,nan
91.627,0.008409840828308975,-0.00595509979830088,-6.231184148472589e-05,9.543181286550513e-06,-0.001518885246342263,6.303838432483478e-05,IDLE,0,nan,nan,0,0,0.6987919211387634,0,nan
91.658,0.008410188749799393,-0.005952992045483696,-6.212636385535511e-05,9.536753145611663e-06,-0.001514626705836145,6.28540750186359e-05,IDLE,0,nan,nan,0,0,0.6987919211387634,0,nan
91.692,0.008410536293015847,-0.005950890211553646,-6.195092766740188e-05,9.53159667415287e-06,-0.0015103532366073983,6.267989130503004e-05,IDLE,0,nan,nan,0,0,0.6987919211387634,0,nan
91.726,0.008410893943386451,-0.005948730727150144,-6.176585940503912e-05,9.524512676203696e-06,-0.0015059592334571404,6.249590170372954e-05,IDLE,0,nan,nan,0,0,0.6987919211387634,0,nan
91.759,0.008411240674648317,-0.005946640731433622,-6.158697525765412e-05,9.519282917723257e-06,-0.0015017308048198242,6.231831407102217e-05,IDLE,0,nan,nan,0,0,0.6951191425323486,0,nan
91.792,0.008411587004971171,-0.005944556513685381,-6.141136790179384e-05,9.512564318496534e-06,-0.0014974772493718041,6.214374455633494e-05,IDLE,0,nan,nan,0,0,0.6951191425323486,0,nan
91.826,0.008411943390489493,-0.0059424153017884375,-6.122030912982128e-05,9.504957974553829e-06,-0.001493022803309325,6.195377693126476e-05,IDLE,0,nan,nan,0,0,0.6951191425323486,0,nan
91.858,0.008412288845203505,-0.005940342901191818,-6.104828068134819e-05,9.498113001632883e-06,-0.0014887780351518956,6.17827380806359e-05,IDLE,0,nan,nan,0,0,0.6951191425323486,0,nan
91.892,0.008412633896515583,-0.005938276455050234,-6.08601149267727e-05,9.49108952725714e-06,-0.0014845449524279316,6.159573336940142e-05,IDLE,0,nan,nan,0,0,0.6951191425323486,0,nan
91.927,0.008412988981398641,-0.005936153323098157,-6.068358688635992e-05,9.484555933173194e-06,-0.0014801500054116372,6.142031031054698e-05,IDLE,0,nan,nan,0,0,0.6951191425323486,0,nan
91.958,0.008413333183945335,-0.005934098641685682,-6.049860354636613e-05,9.47722482862055e-06,-0.001475968485104077,6.123641744511681e-05,IDLE,0,nan,nan,0,0,0.6873083710670471,0,nan
91.992,0.008413676999233372,-0.005932049654458603,-6.032460600465433e-05,9.470923099776824e-06,-0.0014717146943517966,6.106354455793295e-05,IDLE,0,nan,nan,0,0,0.6873083710670471,0,nan
92.026,0.008414030765508621,-0.005929944653228868,-6.013975201011172e-05,9.463220500624477e-06,-0.0014674165067543419,6.0879736481699524e-05,IDLE,0,nan,nan,0,0,0.6873083710670471,0,nan
92.059,0.008414373728665842,-0.0059279073914208,-5.996199449670345e-05,9.456856737064984e-06,-0.0014632067568489994,6.070315414678274e-05,IDLE,0,nan,nan,0,0,0.6873083710670471,0,nan
92.092,0.008414716256962435,-0.005925875851408687,-5.978715061550183e-05,9.449523111113585e-06,-0.0014590329138447428,6.0529305842279165e-05,IDLE,0,nan,nan,0,0,0.6873083710670471,0,nan
92.126,0.008415068735468535,-0.005923788765805023,-5.960231914268381e-05,9.442550874326312e-06,-0.0014547408928898828,6.03456561336487e-05,IDLE,0,nan,nan,0,0,0.6873083710670471,0,nan
92.168,0.008415410420944082,-0.0059217688317680685,-5.942933457632936e-05,9.435691844341506e-06,-0.0014505764512850472,6.0173732548070084e-05,IDLE,0,nan,nan,0,0,0.6884348392486572,0,nan
92.19,0.00841575151967781,-0.005919754627236153,-5.924959586223212e-05,9.413341869959042e-06,-0.0014464424213952091,5.9992713015820164e-05,IDLE,0,nan,nan,0,0,0.6884348392486572,0,nan
92.226,0.00841610227193505,-0.005917685362972456,-5.906956839270925e-05,9.398583374503309e-06,-0.0014421879550284113,5.9812601344101775e-05,IDLE,0,nan,nan,0,0,0.6884348392486572,0,nan
92.257,0.008416442080266198,-0.005915682746777389,-5.889220457912617e-05,9.380963826707032e-06,-0.0014380620618759123,5.9634673156710067e-05,IDLE,0,nan,nan,0,0,0.6884348392486572,0,nan
